山西电信组播,#genre#
CCTV-8电视剧,http://183.185.71.109:8082/rtp/226.0.1.140:2023
CCTV-8电视剧,http://118.79.12.70:6000/rtp/226.0.2.211:9600
CCTV-8电视剧,http://171.116.216.113:10010/rtp/226.0.1.140:2023
CCTV-8电视剧,http://116.179.149.157:6001/rtp/226.0.2.211:9600
CCTV-8电视剧,http://118.79.12.62:6001/rtp/226.0.2.211:9600
CCTV-8电视剧,http://61.134.253.35:8001/rtp/226.0.1.140:2023
CCTV-8电视剧,http://118.79.12.62:6000/rtp/226.0.2.211:9600
CCTV-8电视剧,http://118.79.12.70:6000/rtp/226.0.1.140:2023
CCTV-8电视剧,http://60.223.72.127:8001/rtp/226.0.1.140:2023
CCTV-8电视剧,http://118.79.12.65:6001/rtp/226.0.1.140:2023
CCTV-8电视剧,http://118.79.12.65:6000/rtp/226.0.1.140:2023
CCTV-8电视剧,http://118.79.12.62:6001/rtp/226.0.1.140:2023
CCTV-8电视剧,http://60.223.72.25:8001/rtp/226.0.1.140:2023
CCTV-9纪录,http://118.79.12.62:6000/rtp/226.0.2.161:9200
CCTV-9纪录,http://118.79.12.70:6000/rtp/226.0.2.161:9200
CCTV-9纪录,http://171.116.216.113:10010/rtp/226.0.1.165:3093
CCTV-9纪录,http://118.79.12.62:6001/rtp/226.0.1.165:3093
CCTV-9纪录,http://183.185.71.109:8082/rtp/226.0.1.165:3093
CCTV-9纪录,http://118.79.12.65:6000/rtp/226.0.1.165:3093
CCTV-9纪录,http://60.223.72.127:8001/rtp/226.0.1.165:3093
CCTV-9纪录,http://116.179.149.157:6000/rtp/226.0.2.161:9200
CCTV-9纪录,http://118.79.12.65:6001/rtp/226.0.2.161:9200
CCTV-9纪录,http://118.79.12.70:6000/rtp/226.0.1.165:3093
CCTV-9纪录,http://60.223.72.25:8003/rtp/226.0.1.165:3093
CCTV-9纪录,http://61.134.253.35:8003/rtp/226.0.1.165:3093
CCTV-9纪录,http://118.79.12.65:6001/rtp/226.0.1.165:3093
CCTV-9纪录,http://118.79.12.65:6000/rtp/226.0.2.161:9200
CCTV-9纪录,http://60.223.72.135:8003/rtp/226.0.1.165:3093
CCTV-9纪录,http://60.223.72.25:8001/rtp/226.0.1.165:3093
CCTV-9纪录,http://171.118.222.23:8082/rtp/226.0.1.165:3093
CCTV-9纪录,http://118.79.12.62:6000/rtp/226.0.1.165:3093
CCTV-9纪录,http://116.179.149.157:6001/rtp/226.0.2.161:9200
CCTV-9纪录,http://118.79.12.62:6001/rtp/226.0.2.161:9200
CCTV-9纪录,http://116.179.149.157:6000/rtp/226.0.1.165:3093
CCTV-9纪录,http://61.134.253.35:8001/rtp/226.0.1.165:3093
CCTV-9纪录,http://118.79.12.70:6001/rtp/226.0.1.165:3093
